"Reference","Qty","Value","DNP","Footprint","Beschrijving","LCSC"
"C1","1","100uF/16V","","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","Polarized capacitor",""
"D2","1","1N5822","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","40V 3A Schottky Barrier Rectifier Diode, DO-201AD",""
"J1","1","max98357-L","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","Pin socket, single row, 01x07, P=2.54mm",""
"J2","1","MicroSD","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Pin socket, single row, 01x06, P=2.54mm",""
"J3","1","max98357-R","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","Pin socket, single row, 01x07, P=2.54mm",""
"J5","1","USB-C Vin2","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Pin socket, single row, 01x06, P=2.54mm",""
"J6","1","5Vin_OPTION","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Pin header, single row, 01x02, P=2.54mm",""
"J7","1","KF7.62 Barrier Terminal Block 2P","","ZeDMD_WiFi:KF7.62_2P","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J8","1","USB-C Vin1","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Pin socket, single row, 01x06, P=2.54mm",""
"J9","1","Conn_02x08_Odd_Even","","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","2x8p IDC Boxed Header, vertical, P=2.54mm",""
"J10,J11","2","Conn_01x02_Pin","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated",""
"J12","1","ADXL345","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated",""
"J13","1","LM66200","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","Pin socket, single row, 01x06, P=2.54mm",""
"R1","1","100k","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2","1","390k","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3","1","10k","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"SW1","1","Menu Left","","Button_Switch_THT:SW_PUSH_6mm","Tactile Pushbutton Switch Momentary 4pin 6*6*6mm",""
"SW2","1","Boot/Value+","","Button_Switch_THT:SW_PUSH_6mm","Tactile Pushbutton Switch Momentary 4pin 6*6*6mm",""
"SW3","1","Value-","","Button_Switch_THT:SW_PUSH_6mm","Tactile Pushbutton Switch Momentary 4pin 6*6*6mm",""
"SW4","1","Menu Right","","Button_Switch_THT:SW_PUSH_6mm","Tactile Pushbutton Switch Momentary 4pin 6*6*6mm",""
"TP1,TP4","2","GND","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","test point",""
"TP2,TP3","2","Vin","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","test point",""
"U1","1","ESP32-S3-DevKitC","","PCM_Espressif:ESP32-S3-DevKitC","2x Pin Socket, single row, 01x22, P=2.54mm",""
